EmployeeID,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
197,Travel_Rarely,328,"Research & Development",1,3,Medical,3,86,2,1,Developer,1,3690,3425,2,No,15,3,5,3,2,0,2
198,Travel_Rarely,1084,"Research & Development",13,2,Medical,4,57,4,2,Developer,2,4450,26250,1,No,11,1,5,4,2,1,3
199,Travel_Rarely,931,"Research & Development",14,3,Medical,4,72,3,1,"Research Scientist",4,2756,4673,1,No,13,3,8,8,7,1,6
200,Travel_Rarely,989,"Research & Development",4,1,Medical,4,46,3,5,Manager,1,19033,6499,1,No,14,3,21,20,8,9,9
201,Travel_Rarely,692,"Research & Development",14,4,Medical,3,61,4,5,"Research Director",4,18722,13339,8,No,11,3,36,24,15,2,15
202,Travel_Frequently,1069,"Research & Development",2,1,"Life Sciences",4,45,2,2,Developer,1,9547,14074,1,No,17,1,10,10,9,1,9
203,Travel_Rarely,313,"Research & Development",3,3,Medical,4,98,3,4,"Healthcare Representative",4,13734,7192,3,No,18,3,21,7,7,1,0
204,Travel_Rarely,699,"Research & Development",1,4,"Life Sciences",3,65,2,5,Manager,1,19999,5678,0,No,14,1,34,33,18,11,9
205,Travel_Rarely,894,"Research & Development",9,3,Medical,4,99,3,1,"Research Scientist",4,2279,11781,1,No,16,3,7,7,7,0,3
206,Travel_Rarely,556,"Research & Development",23,2,"Life Sciences",2,50,2,2,Developer,1,5916,15497,3,Yes,13,3,8,1,0,0,1
207,Non-Travel,1344,"Research & Development",7,3,Medical,4,37,4,1,"Research Scientist",3,2089,5228,4,No,14,3,7,5,4,2,2
208,Non-Travel,1195,"Research & Development",2,2,Medical,1,65,2,4,Manager,3,16792,20462,9,No,23,4,22,20,8,11,8
209,Travel_Rarely,290,"Research & Development",21,3,"Life Sciences",2,65,4,1,"Research Scientist",2,3564,22977,1,Yes,12,3,8,8,7,1,7
210,Travel_Frequently,138,"Research & Development",2,3,Medical,2,37,3,2,Developer,4,4425,15986,5,No,11,2,10,6,2,1,2
211,Non-Travel,926,"Research & Development",21,2,Medical,3,36,3,2,Developer,1,5265,16439,2,No,16,3,11,5,3,0,2
212,Travel_Rarely,1261,"Research & Development",2,4,"Life Sciences",4,88,3,2,Developer,1,6553,7259,9,No,14,1,14,1,0,0,0
213,Travel_Rarely,1084,"Research & Development",29,3,"Technical Degree",4,54,3,2,Developer,3,6261,4185,3,No,18,2,9,7,7,1,7
214,Travel_Frequently,472,"Research & Development",1,1,"Technical Degree",3,60,2,2,Developer,2,4298,9679,5,No,19,2,6,2,2,2,0
215,Non-Travel,1002,"Research & Development",18,4,"Life Sciences",4,92,3,2,Developer,3,6804,23793,1,Yes,15,1,7,7,7,1,7
216,Travel_Frequently,878,"Research & Development",10,4,Medical,4,43,3,1,"Research Scientist",1,3815,5972,1,Yes,17,3,5,5,3,2,0
217,Travel_Rarely,905,"Research & Development",19,2,Medical,3,99,3,2,Developer,3,2741,16523,8,Yes,15,3,15,7,2,3,7
218,Travel_Rarely,1180,"Research & Development",29,1,Medical,2,70,3,2,"Healthcare Representative",2,6673,11354,7,Yes,19,3,17,1,0,0,0
219,Travel_Rarely,121,Sales,27,3,Marketing,2,35,3,3,"Sales Executive",3,7639,24525,1,No,22,4,10,10,4,1,9
220,Travel_Rarely,1136,"Research & Development",5,3,"Life Sciences",4,60,4,1,"Research Scientist",4,2328,12392,1,Yes,16,1,4,4,2,2,2
221,Travel_Frequently,635,"Research & Development",18,1,Medical,2,73,3,1,Developer,3,2153,7703,1,No,13,3,8,8,1,1,7
222,Non-Travel,1151,"Research & Development",9,5,"Life Sciences",4,63,2,2,"Healthcare Representative",3,4876,14242,9,No,14,1,5,3,2,0,2
223,Travel_Rarely,644,"Research & Development",1,4,Medical,4,97,3,3,"Healthcare Representative",2,9396,12368,7,No,16,3,17,4,2,0,3
224,Travel_Rarely,1045,Sales,4,4,Medical,4,32,1,3,"Sales Executive",3,10400,25812,1,No,11,3,14,14,8,9,8
225,Non-Travel,829,"Research & Development",1,1,"Life Sciences",3,88,2,3,Developer,1,8474,20925,1,No,22,4,12,11,8,5,8
226,Travel_Frequently,1242,Sales,20,3,"Life Sciences",4,90,3,2,"Sales Executive",1,9981,12916,1,No,14,3,7,7,7,0,7
227,Travel_Rarely,1469,"Research & Development",8,4,"Life Sciences",2,81,2,3,"Research Director",4,12490,15736,5,No,16,3,16,10,9,4,7
228,Travel_Rarely,1005,"Research & Development",3,3,"Technical Degree",4,88,3,1,"Research Scientist",2,2657,8556,5,Yes,11,3,8,5,2,0,4
229,Travel_Rarely,896,Sales,6,3,"Life Sciences",4,75,3,3,Manager,3,13591,14674,3,Yes,18,3,16,1,0,0,0
230,Travel_Frequently,334,Sales,26,4,Marketing,3,52,2,2,"Sales Executive",2,6696,22967,5,No,15,3,9,6,3,0,1
231,Travel_Rarely,992,"Research & Development",1,3,"Technical Degree",3,85,3,1,"Research Scientist",1,2058,19757,0,No,14,3,7,6,2,1,5
232,Non-Travel,1052,Sales,6,3,Medical,4,57,2,3,"Sales Executive",3,8865,16840,6,No,12,3,23,19,7,12,8
233,Travel_Rarely,1147,Sales,3,3,Marketing,4,52,3,2,"Sales Executive",2,5940,17011,2,No,14,3,16,6,2,0,5
234,Travel_Rarely,1396,"Research & Development",5,2,"Life Sciences",4,62,3,2,Developer,4,5914,9945,8,No,16,1,16,13,11,3,7
235,Travel_Rarely,147,"Research & Development",4,4,Medical,3,47,2,1,"Research Scientist",4,2622,13248,6,No,21,4,7,3,2,1,1
236,Travel_Frequently,663,"Research & Development",11,3,Other,2,47,3,3,"Research Director",3,12185,10056,1,Yes,14,3,10,10,8,0,7
237,Travel_Rarely,119,Sales,3,3,"Life Sciences",1,76,3,3,"Sales Executive",1,10609,9647,0,No,12,2,17,16,10,5,13
238,Non-Travel,979,"Research & Development",1,4,Medical,3,90,1,2,Developer,1,4345,4381,0,No,12,2,6,5,4,1,4
239,Travel_Rarely,142,"Research & Development",3,3,"Life Sciences",3,70,2,1,"Research Scientist",3,2177,8456,3,No,17,3,7,1,0,0,0
240,Travel_Frequently,319,Sales,4,4,Marketing,1,41,3,1,"Sales Representative",3,2793,2539,4,No,17,3,13,9,8,5,8
241,Travel_Frequently,1413,Sales,1,1,Medical,2,42,3,3,"Sales Executive",3,7918,6599,1,No,14,3,11,11,10,4,1
242,Travel_Frequently,944,Sales,1,3,Marketing,3,92,3,3,"Sales Executive",1,8789,9096,1,No,14,2,10,10,7,0,8
243,Travel_Rarely,896,"Research & Development",18,1,Medical,3,86,2,1,"Research Scientist",3,2389,14961,1,Yes,13,2,4,4,3,0,1
244,Travel_Rarely,1323,"Research & Development",2,3,"Life Sciences",3,89,2,1,Developer,3,3212,3300,7,No,15,3,6,2,2,2,2
245,Travel_Rarely,532,"Research & Development",4,2,"Technical Degree",3,58,3,5,Manager,3,19232,4933,1,No,11,3,22,22,17,11,15
246,Travel_Rarely,818,HR,6,2,Medical,2,52,3,1,HR,1,2267,25657,8,No,17,3,7,2,2,2,2
247,Travel_Rarely,854,Sales,1,4,Medical,4,68,3,5,Manager,3,19517,24118,3,No,11,3,32,7,0,0,6
248,Travel_Rarely,813,"Research & Development",14,3,Medical,3,58,3,1,Developer,3,2436,22149,5,Yes,13,1,8,5,4,0,4
249,Travel_Rarely,1034,Sales,16,3,Marketing,4,80,3,4,Manager,3,16064,7744,5,Yes,22,4,22,17,13,1,9
250,Travel_Rarely,465,"Research & Development",2,2,"Life Sciences",1,39,3,1,Developer,2,2707,21509,7,No,20,4,13,9,7,1,7
251,Non-Travel,771,Sales,2,4,"Life Sciences",1,79,2,5,Manager,1,19068,21030,1,Yes,18,3,33,33,7,15,12
252,Travel_Rarely,1401,Sales,4,2,"Life Sciences",3,56,3,1,"Sales Representative",4,3931,20990,2,No,11,1,6,4,3,1,2
253,Travel_Rarely,515,"Research & Development",1,3,"Life Sciences",4,62,2,1,Developer,1,3730,9571,0,Yes,14,3,4,3,2,1,2
254,Travel_Rarely,1431,"Research & Development",1,4,Medical,3,96,3,1,Developer,1,2232,15417,7,No,14,2,7,3,2,1,2
255,Non-Travel,976,Sales,26,4,Marketing,3,100,3,2,"Sales Executive",3,4465,12069,0,No,18,3,4,3,2,2,2
256,Travel_Rarely,1411,"Research & Development",19,2,"Life Sciences",3,36,3,2,"Research Scientist",2,3072,19877,2,No,16,3,17,1,0,0,0
257,Travel_Rarely,1300,"Research & Development",24,2,"Technical Degree",1,62,3,2,"Research Scientist",3,3319,24447,1,No,17,3,9,9,8,4,7
258,Travel_Rarely,252,"Research & Development",1,3,Other,3,70,4,5,Manager,3,19202,15970,0,No,11,2,25,24,0,1,7
259,Travel_Frequently,1327,"Research & Development",3,4,Medical,2,73,3,3,"Research Director",1,13675,13523,9,No,12,3,9,2,2,2,2
260,Travel_Rarely,832,"Research & Development",5,4,"Life Sciences",3,63,2,1,"Research Scientist",3,2911,14776,1,No,13,1,2,2,2,0,2
261,Travel_Rarely,470,"Research & Development",2,4,"Life Sciences",4,84,2,2,Developer,2,5957,23687,6,No,13,3,13,11,9,5,9
262,Travel_Rarely,1017,"Research & Development",1,2,Medical,3,83,2,1,"Research Scientist",2,3920,18697,2,No,14,1,17,3,1,0,2
263,Travel_Frequently,1199,"Research & Development",7,4,"Life Sciences",1,77,4,2,Developer,1,6434,5118,4,No,17,2,9,3,2,0,2
264,Travel_Frequently,504,"Research & Development",10,3,Medical,1,61,3,3,Developer,1,10048,22573,6,No,11,3,17,1,0,0,0
265,Travel_Frequently,505,"Research & Development",2,4,"Technical Degree",3,64,3,3,"Healthcare Representative",1,10938,6420,0,No,25,4,20,19,6,11,8
266,Travel_Rarely,665,"Research & Development",15,3,"Life Sciences",3,60,3,1,"Research Scientist",3,2340,22673,1,No,19,1,6,6,5,1,5
267,Travel_Rarely,916,"Research & Development",17,2,"Life Sciences",4,82,4,2,"Research Scientist",2,6545,23016,3,Yes,13,2,10,3,2,0,2
268,Travel_Rarely,1247,Sales,20,2,Marketing,4,45,3,2,"Sales Executive",3,6931,10732,2,No,14,2,10,3,2,0,2
269,Travel_Rarely,685,"Research & Development",1,3,"Life Sciences",1,62,3,2,Developer,1,4898,7505,0,No,12,2,5,4,2,1,2
270,Travel_Rarely,269,"Research & Development",2,3,Medical,4,56,2,1,Developer,2,2593,8007,0,Yes,11,3,10,9,6,7,8
271,Travel_Rarely,1416,"Research & Development",2,2,Medical,1,49,3,5,"Research Director",1,19436,5949,0,No,19,1,22,21,7,3,9
272,Travel_Rarely,833,"Research & Development",1,3,"Life Sciences",3,96,3,1,"Research Scientist",3,2723,23231,1,No,11,3,1,1,0,0,0
273,Travel_Frequently,307,"Research & Development",29,2,Medical,3,71,2,1,Developer,4,3479,11652,0,No,11,3,6,5,4,1,4
274,Travel_Frequently,1311,"Research & Development",7,3,"Life Sciences",2,100,4,1,Developer,4,2794,26062,1,No,20,4,5,5,1,0,3
275,Non-Travel,1327,Sales,2,2,"Life Sciences",4,39,2,2,"Sales Executive",3,5249,19682,3,No,18,1,13,8,7,7,5
276,Travel_Rarely,128,"Research & Development",2,1,"Technical Degree",4,84,2,2,Developer,2,2176,19737,4,No,13,1,9,6,2,0,4
277,Travel_Rarely,488,Sales,2,3,"Technical Degree",3,75,1,4,Manager,4,16872,14977,3,Yes,12,3,28,7,7,7,7
278,Travel_Rarely,529,"Research & Development",2,4,"Life Sciences",1,79,3,1,Developer,1,3485,14935,2,No,11,2,5,0,0,0,0
279,Travel_Rarely,1210,Sales,2,3,Medical,1,78,2,2,"Sales Executive",4,6644,3687,2,No,19,2,10,0,0,0,0
280,Travel_Rarely,1463,"Research & Development",23,3,Medical,2,64,2,2,"Healthcare Representative",3,5582,14408,0,No,21,4,10,9,0,7,8
281,Non-Travel,675,"Research & Development",5,2,"Life Sciences",2,85,4,2,"Healthcare Representative",2,4000,18384,1,No,12,1,6,6,3,1,5
282,Travel_Rarely,1385,"Research & Development",20,2,Medical,3,79,3,4,"Healthcare Representative",3,13496,7501,0,Yes,14,2,21,20,7,4,10
283,Travel_Rarely,1403,"Research & Development",6,3,"Life Sciences",4,47,3,1,Developer,3,3210,20251,0,No,11,1,16,15,13,10,11
284,Travel_Rarely,452,"Research & Development",1,3,Medical,4,81,3,5,Manager,2,19045,18938,0,Yes,14,1,37,36,10,4,13
285,Non-Travel,666,"Research & Development",29,4,"Life Sciences",1,88,3,3,Manager,4,11849,10268,1,Yes,12,3,10,10,7,9,9
286,Travel_Rarely,1158,"Research & Development",9,3,Medical,4,94,3,1,"Research Scientist",3,2070,2613,1,No,23,4,5,5,2,0,4
287,Travel_Rarely,228,Sales,6,4,Medical,3,98,3,2,"Sales Executive",3,6502,22825,4,No,14,3,7,5,4,0,1
288,Travel_Rarely,996,"Research & Development",3,2,Medical,4,100,2,1,"Research Scientist",1,3230,10531,1,No,17,3,3,3,2,1,0
289,Non-Travel,728,"Research & Development",1,4,Medical,1,80,3,3,"Research Director",3,13603,11677,2,Yes,18,3,15,5,2,0,2
290,Travel_Rarely,1315,"Research & Development",22,3,"Life Sciences",2,71,4,3,Manager,4,11996,19100,7,No,18,3,10,7,7,6,2
291,Travel_Rarely,322,Sales,7,2,Medical,1,44,4,2,"Sales Executive",2,5605,19191,1,Yes,24,4,8,8,0,7,7
292,Travel_Frequently,1479,"Research & Development",1,3,"Life Sciences",3,84,3,2,Developer,4,6397,26767,1,No,20,4,6,6,5,1,4
293,Travel_Rarely,797,"Research & Development",4,1,"Life Sciences",1,96,3,5,"Research Director",4,19144,15815,3,No,14,3,28,10,4,1,6
294,Travel_Rarely,1070,"Research & Development",3,4,Medical,3,45,3,4,"Research Director",1,17584,21016,3,Yes,16,3,21,5,3,1,3
295,Travel_Rarely,635,Sales,1,1,"Life Sciences",2,99,3,2,"Sales Executive",1,4907,24532,1,No,25,4,20,20,16,11,6
296,Travel_Frequently,442,Sales,2,2,"Life Sciences",2,44,3,2,"Sales Executive",3,4554,20260,1,No,18,3,10,10,7,0,9
297,Travel_Rarely,147,"Research & Development",20,2,"Technical Degree",2,37,3,2,Developer,3,5415,15972,3,Yes,19,3,12,10,7,0,8
298,Travel_Frequently,496,"Research & Development",11,2,Medical,1,60,3,2,"Healthcare Representative",2,4741,22722,1,Yes,13,3,5,5,3,3,3
299,Travel_Rarely,1372,"Research & Development",1,3,"Life Sciences",4,42,3,1,"Research Scientist",3,2115,15881,1,No,12,3,17,17,12,5,7
300,Travel_Frequently,920,"Research & Development",24,3,"Life Sciences",4,43,3,1,Developer,1,3161,19920,3,Yes,22,2,19,1,0,0,0
301,Travel_Rarely,688,"Research & Development",23,4,"Life Sciences",4,82,3,2,"Healthcare Representative",3,5745,18899,9,No,14,3,10,2,2,1,2
302,Travel_Rarely,1449,"Research & Development",16,4,Medical,1,45,3,1,Developer,4,2373,14180,2,Yes,13,3,5,3,2,0,2
303,Travel_Rarely,1117,"Research & Development",8,2,"Life Sciences",4,66,3,1,"Research Scientist",3,3310,4488,1,No,21,4,5,5,3,0,2
304,Travel_Frequently,636,"Research & Development",10,4,"Life Sciences",3,35,3,5,"Research Director",2,18665,25594,9,Yes,11,3,22,3,2,1,2
305,Travel_Rarely,506,"Research & Development",3,3,"Technical Degree",3,30,3,2,"Research Scientist",4,4485,26285,4,No,12,1,10,8,0,7,7
306,Travel_Frequently,444,Sales,5,3,Marketing,4,84,3,1,"Sales Representative",4,2789,3909,1,No,11,1,2,2,2,2,2
307,Travel_Rarely,950,Sales,4,4,Marketing,4,48,2,2,"Sales Executive",3,5828,8450,1,Yes,12,3,8,8,7,7,4
308,Travel_Frequently,889,"Research & Development",9,3,Medical,2,53,3,1,"Research Scientist",3,2326,11411,1,Yes,12,2,4,4,2,1,2
309,Travel_Frequently,555,Sales,26,3,Marketing,3,77,3,4,"Sales Executive",4,13525,14864,5,No,14,3,23,20,4,4,8
310,Travel_Rarely,230,"Research & Development",3,3,"Life Sciences",3,54,3,1,Developer,1,1420,25233,1,No,13,3,0,0,0,0,0
311,Travel_Rarely,1232,Sales,16,3,Marketing,3,96,3,3,"Sales Executive",4,8020,5100,0,No,15,1,12,11,9,6,9
312,Travel_Frequently,566,"Research & Development",18,4,"Life Sciences",3,81,4,1,Developer,3,3688,7122,4,No,18,3,4,1,0,0,0
313,Travel_Rarely,1302,"Research & Development",2,3,Medical,4,84,1,2,Developer,4,5482,16321,5,No,18,3,13,4,1,1,2
314,Travel_Rarely,334,Sales,2,4,"Life Sciences",4,88,3,4,Manager,4,16015,15896,1,No,19,3,22,22,10,0,4
315,Travel_Rarely,812,Sales,10,3,Medical,4,69,2,1,"Sales Representative",1,1200,9724,1,No,12,1,0,0,0,0,0
316,Travel_Rarely,1476,"Research & Development",16,2,Medical,2,68,4,2,"Healthcare Representative",2,5661,4824,0,No,19,1,9,8,3,0,7
317,Travel_Rarely,218,Sales,7,3,"Technical Degree",2,100,4,2,"Sales Executive",3,6929,12241,4,No,11,3,10,8,7,7,7
318,Travel_Rarely,1132,"Research & Development",1,3,Medical,3,48,4,3,"Healthcare Representative",3,9613,10942,0,No,17,3,19,18,10,3,7
319,Non-Travel,1105,"Research & Development",24,4,"Life Sciences",2,47,3,2,Developer,4,5674,6927,7,No,15,3,11,9,8,0,8
320,Travel_Rarely,906,Sales,7,3,"Life Sciences",4,91,2,2,"Sales Executive",1,5484,16985,1,No,14,3,13,13,8,4,8
321,Travel_Rarely,849,"Research & Development",25,2,"Life Sciences",1,81,2,3,"Research Director",4,12061,26707,3,No,17,3,19,10,8,0,1
322,Non-Travel,390,"Research & Development",1,4,"Life Sciences",4,32,1,2,"Healthcare Representative",1,5660,17056,2,Yes,13,2,12,5,3,1,2
323,Travel_Rarely,691,"Research & Development",5,4,"Technical Degree",3,86,3,1,"Research Scientist",3,4821,10077,0,Yes,12,3,6,5,2,0,3
324,Travel_Rarely,106,HR,2,3,"Human Resources",1,62,2,2,HR,2,6410,17822,3,No,12,3,9,2,2,1,0
325,Travel_Frequently,1249,"Research & Development",7,3,"Life Sciences",1,97,3,3,Developer,2,5210,20308,1,No,18,1,24,24,9,9,11
326,Travel_Rarely,192,"Research & Development",2,4,"Life Sciences",3,32,3,1,"Research Scientist",3,2695,7747,0,Yes,18,3,3,2,2,2,2
327,Travel_Frequently,553,"Research & Development",5,4,"Life Sciences",4,74,3,3,Manager,4,11878,23364,6,No,11,1,12,10,6,8,8
328,Travel_Rarely,117,"Research & Development",10,1,Medical,3,99,3,4,Manager,2,17068,5355,1,Yes,14,3,21,21,9,11,10
329,Travel_Frequently,185,"Research & Development",10,4,"Life Sciences",3,33,3,1,Developer,3,2455,10675,0,No,19,2,9,8,7,1,7
330,Travel_Rarely,1091,"Research & Development",1,2,"Technical Degree",3,90,2,4,"Healthcare Representative",1,13964,17810,7,Yes,12,3,25,7,1,0,7
331,Travel_Rarely,723,"Research & Development",8,4,Medical,3,85,2,2,"Research Scientist",4,4941,17747,2,No,15,3,11,8,2,7,7
332,Travel_Rarely,1220,"Research & Development",5,3,"Life Sciences",3,85,3,1,"Research Scientist",4,2478,20938,1,Yes,12,3,4,4,3,1,2
333,Travel_Rarely,588,Sales,8,2,"Technical Degree",3,65,2,2,"Sales Executive",4,5228,24624,1,Yes,11,1,13,13,12,11,9
334,Travel_Rarely,1377,Sales,2,3,"Life Sciences",4,74,3,2,"Sales Executive",1,4478,5242,1,Yes,11,3,5,5,4,0,4
335,Travel_Rarely,691,Sales,7,3,Marketing,4,73,3,2,"Sales Executive",3,7547,7143,4,No,12,3,13,7,7,1,7
336,Travel_Rarely,1018,"Research & Development",2,4,Medical,1,74,4,2,"Research Scientist",3,5055,10557,7,No,16,1,10,7,7,0,7
337,Travel_Rarely,1157,"Research & Development",2,4,Medical,1,84,1,1,"Research Scientist",3,3464,24737,5,Yes,13,3,5,3,2,2,2
338,Travel_Rarely,1275,"Research & Development",28,2,Medical,4,64,3,2,"Research Scientist",3,5775,11934,1,No,13,1,11,10,8,1,9
339,Travel_Frequently,798,"Research & Development",7,2,"Life Sciences",3,48,2,3,Developer,1,8943,14034,1,No,24,4,10,10,9,8,9
340,Travel_Frequently,672,"Research & Development",7,2,Medical,3,54,2,5,Manager,3,19272,21141,1,No,15,2,21,21,9,13,3
341,Travel_Rarely,1162,Sales,3,2,Medical,4,41,3,2,"Sales Executive",1,5238,17778,4,Yes,18,3,12,1,0,0,0
342,Travel_Frequently,508,Sales,10,3,Marketing,2,46,2,2,"Sales Executive",3,4682,4317,3,No,14,3,9,7,7,0,1
343,Travel_Rarely,1482,"Research & Development",5,5,"Life Sciences",4,42,3,5,"Research Director",1,18300,16375,4,No,11,1,21,3,2,1,1
344,Travel_Frequently,559,"Research & Development",10,4,"Life Sciences",3,82,2,2,Developer,1,5257,6227,1,No,11,3,9,9,7,0,0
345,Non-Travel,210,Sales,1,1,Marketing,3,73,3,2,"Sales Executive",4,6349,22107,0,Yes,13,1,6,5,4,1,4
346,Travel_Frequently,928,"Research & Development",20,4,"Life Sciences",4,31,3,2,"Research Scientist",1,4869,16885,3,No,12,2,20,4,3,0,3
347,Travel_Rarely,1001,"Research & Development",7,3,"Life Sciences",3,43,3,3,"Healthcare Representative",2,9985,9262,8,No,16,1,10,1,0,0,0
348,Travel_Rarely,549,"Research & Development",8,4,Other,4,75,3,2,"Research Scientist",3,3697,9278,9,No,14,3,12,10,9,9,8
349,Travel_Rarely,1124,Sales,1,2,Medical,2,57,1,2,"Sales Executive",3,7457,13273,2,Yes,22,4,6,4,3,0,2
350,Travel_Rarely,318,"Research & Development",8,4,Other,2,77,1,1,Developer,2,2119,4759,1,Yes,11,3,7,7,7,0,7
351,Travel_Rarely,738,"Research & Development",9,5,Other,2,30,2,1,Developer,3,3983,7621,0,No,17,3,4,3,2,2,2
352,Travel_Rarely,570,Sales,5,3,Marketing,4,30,2,2,"Sales Executive",1,6118,5431,1,No,13,1,10,10,9,1,2
353,Travel_Rarely,1130,Sales,8,4,Marketing,2,56,3,2,"Sales Executive",4,6214,3415,1,No,18,3,8,8,7,0,7
354,Travel_Rarely,1192,"Research & Development",5,2,Medical,4,61,3,2,Developer,3,6347,23177,7,No,16,1,8,6,2,0,4
355,Travel_Rarely,343,"Research & Development",15,2,"Life Sciences",3,92,2,3,"Research Director",3,11510,15682,0,Yes,14,2,12,11,10,2,9
356,Travel_Rarely,1232,"Research & Development",7,4,Medical,3,39,3,3,Developer,3,7143,25713,1,Yes,14,3,11,11,9,4,10
357,Travel_Rarely,144,Sales,10,1,Marketing,4,39,2,2,"Sales Executive",4,8268,11866,1,Yes,14,3,7,7,7,1,7
358,Travel_Rarely,1296,"Research & Development",5,4,"Technical Degree",3,62,3,3,Developer,4,8095,18264,0,No,13,3,17,16,6,0,13
359,Travel_Rarely,1309,"Research & Development",26,1,"Life Sciences",3,83,3,1,"Research Scientist",3,2904,16092,1,No,12,2,4,4,2,0,2
360,Travel_Rarely,483,"Research & Development",6,3,Medical,4,95,2,2,Developer,4,6032,10110,6,Yes,15,1,8,5,4,1,2
361,Travel_Frequently,1309,Sales,4,1,Medical,2,99,3,2,"Sales Representative",1,2976,25751,3,No,19,3,5,0,0,0,0
362,Travel_Rarely,810,"Research & Development",23,5,"Life Sciences",1,44,3,4,"Research Director",3,15992,15901,2,No,14,3,16,1,0,0,0
363,Non-Travel,746,Sales,2,3,"Life Sciences",4,61,3,2,"Sales Executive",1,4649,16928,1,No,14,1,4,4,3,0,2
364,Travel_Rarely,544,HR,2,1,"Technical Degree",3,52,3,1,HR,1,2696,24017,0,Yes,11,1,4,3,2,1,0
365,Travel_Rarely,1062,"Research & Development",2,3,Medical,3,75,3,1,Developer,4,2370,3956,1,No,13,1,8,8,0,0,7
366,Travel_Rarely,530,Sales,29,1,Medical,1,91,3,3,Manager,1,12504,23978,3,No,21,4,15,0,0,0,0
367,Travel_Rarely,1319,"Research & Development",6,3,Medical,3,51,4,2,"Research Scientist",2,5974,17001,4,Yes,13,3,13,7,7,6,7
368,Non-Travel,641,Sales,25,2,"Technical Degree",4,85,3,2,"Sales Executive",1,4736,6069,7,Yes,12,3,4,2,2,2,2
369,Travel_Rarely,933,Sales,1,3,"Life Sciences",3,57,3,2,"Sales Executive",1,5296,20156,1,No,17,3,8,8,7,7,7
370,Travel_Rarely,1332,"Research & Development",2,4,Other,1,98,2,2,"Healthcare Representative",3,6781,17078,3,No,23,4,14,1,0,0,0
371,Travel_Frequently,756,Sales,1,1,"Technical Degree",1,99,2,1,"Sales Representative",4,2174,9150,1,Yes,11,3,3,3,2,1,2
372,Non-Travel,845,Sales,1,5,Medical,4,45,3,2,"Sales Executive",3,6653,15276,4,No,15,3,7,1,0,0,0
373,Travel_Frequently,541,Sales,3,4,Medical,1,48,2,3,"Sales Executive",3,9699,7246,4,No,11,3,16,13,9,1,12
374,Travel_Rarely,593,"Research & Development",1,4,Medical,4,88,3,2,"Healthcare Representative",1,6755,2967,2,No,11,1,15,3,2,1,2
375,Travel_Rarely,1171,"Research & Development",10,4,"Life Sciences",4,46,4,1,Developer,1,2213,22495,3,Yes,13,3,10,7,7,1,7
376,Non-Travel,895,Sales,9,2,Medical,1,39,3,1,"Sales Representative",3,2610,2851,1,No,24,4,3,3,2,2,2
377,Travel_Rarely,350,Sales,5,3,Marketing,4,34,3,1,"Sales Representative",1,2851,9150,1,Yes,13,3,1,1,0,0,0
378,Travel_Rarely,921,"Research & Development",10,3,Medical,3,98,3,1,Developer,2,3452,17663,6,No,20,4,17,5,4,0,3
379,Non-Travel,1144,"Research & Development",7,4,Medical,3,30,3,2,Developer,1,5258,16044,2,No,14,3,7,1,0,0,0
380,Travel_Frequently,143,Sales,4,3,Marketing,1,56,3,2,"Sales Executive",4,9355,9558,1,No,18,3,8,8,7,7,7
381,Travel_Rarely,1046,"Research & Development",10,3,"Technical Degree",4,100,2,3,"Healthcare Representative",3,10496,2755,6,No,15,3,20,4,3,1,3
382,Travel_Rarely,575,Sales,22,2,Marketing,3,68,2,2,"Sales Executive",1,6380,6110,2,Yes,12,3,8,6,4,1,0
383,Travel_Rarely,408,"Research & Development",9,4,"Life Sciences",3,42,2,1,"Research Scientist",4,2657,7551,0,Yes,16,3,3,2,2,2,2
384,Travel_Rarely,156,Sales,12,3,"Life Sciences",3,90,4,1,"Sales Representative",4,2716,25422,1,No,15,1,1,1,0,0,0
385,Travel_Rarely,1283,"Research & Development",23,3,"Life Sciences",4,54,3,1,"Research Scientist",3,2201,18168,9,No,16,3,6,3,2,1,2
386,Travel_Rarely,755,"Research & Development",9,4,"Life Sciences",3,97,2,2,"Healthcare Representative",4,6540,19394,9,No,19,2,10,1,1,0,0
387,Travel_Rarely,1469,"Research & Development",1,2,Medical,4,82,3,1,Developer,4,3816,17881,1,No,11,3,5,5,2,0,4
388,Travel_Rarely,304,Sales,9,4,"Life Sciences",2,92,3,2,"Sales Executive",3,5253,20750,1,No,16,1,7,7,5,0,7
389,Travel_Rarely,1261,"Research & Development",7,3,Other,2,31,2,3,"Healthcare Representative",1,10965,12066,8,No,24,4,26,5,2,0,0
390,Travel_Rarely,1178,Sales,14,2,"Life Sciences",3,87,3,2,"Sales Executive",3,4936,14862,4,No,11,3,18,7,7,0,7
391,Travel_Rarely,329,"Research & Development",2,3,"Life Sciences",4,96,3,1,"Research Scientist",1,2543,11868,4,No,13,2,6,2,2,2,2
392,Non-Travel,1362,Sales,19,3,Marketing,1,67,4,2,"Sales Executive",3,5304,4652,8,Yes,13,3,9,5,2,0,4
